Duration (s),Speaker,start_ms,end_ms
1671,SPEAKER_00,497,2168
4809,SPEAKER_00,19026,23835
692,SPEAKER_01,23835,24527
1434,SPEAKER_00,24696,26130
1823,SPEAKER_01,26535,28358
2582,SPEAKER_00,27987,30569
928,SPEAKER_01,30957,31885
962,SPEAKER_00,31733,32695
2059,SPEAKER_01,32695,34754
1653,SPEAKER_00,34602,36255
9670,SPEAKER_01,36795,46465
1552,SPEAKER_00,42989,44541
2802,SPEAKER_00,46532,49334
3122,SPEAKER_01,49435,52557
3088,SPEAKER_00,52371,55459
1772,SPEAKER_01,55999,57771
5940,SPEAKER_00,57720,63660
4708,SPEAKER_01,64521,69229
2936,SPEAKER_00,69229,72165
1435,SPEAKER_01,72165,73600
11306,SPEAKER_00,73178,84484
1299,SPEAKER_01,84839,86138
2160,SPEAKER_01,87809,89969
2598,SPEAKER_00,89969,92567
2363,SPEAKER_01,92854,95217
3156,SPEAKER_00,94356,97512
4353,SPEAKER_01,97512,101865
6547,SPEAKER_00,99942,106489
169,SPEAKER_01,103671,103840
5012,SPEAKER_01,106489,111501
7999,SPEAKER_00,111467,119466
1367,SPEAKER_01,119770,121137
3611,SPEAKER_00,121137,124748
11238,SPEAKER_01,125339,136577
1046,SPEAKER_00,131009,132055
10378,SPEAKER_00,136577,146955
2920,SPEAKER_01,147124,150044
776,SPEAKER_00,150044,150820
6328,SPEAKER_01,151191,157519
929,SPEAKER_00,155190,156119
9467,SPEAKER_00,157485,166952
962,SPEAKER_01,160675,161637
2328,SPEAKER_01,167324,169652
2295,SPEAKER_00,169568,171863
1299,SPEAKER_01,172521,173820
1063,SPEAKER_00,173702,174765
692,SPEAKER_01,174765,175457
945,SPEAKER_00,175457,176402
6581,SPEAKER_01,176892,183473
4557,SPEAKER_00,182072,186629
7577,SPEAKER_01,185532,193109
624,SPEAKER_00,188249,188873
759,SPEAKER_00,192957,193716
48212,SPEAKER_01,193716,241928
84,SPEAKER_00,214709,214793
1839,SPEAKER_00,242080,243919
1249,SPEAKER_01,244375,245624
1383,SPEAKER_00,245624,247007
3577,SPEAKER_01,247227,250804
1435,SPEAKER_00,250770,252205
12167,SPEAKER_01,252897,265064
2278,SPEAKER_00,264389,266667
2480,SPEAKER_01,267207,269687
8269,SPEAKER_00,269687,277956
26510,SPEAKER_01,277720,304230
2768,SPEAKER_00,304230,306998
10716,SPEAKER_01,304821,315537
557,SPEAKER_00,315537,316094
21854,SPEAKER_01,316380,338234
1822,SPEAKER_00,338234,340056
34,SPEAKER_01,338942,338976
3139,SPEAKER_01,340191,343330
152,SPEAKER_00,343043,343195
2514,SPEAKER_01,343988,346502
557,SPEAKER_00,346317,346874
1519,SPEAKER_01,347430,348949
17348,SPEAKER_00,348915,366263
455,SPEAKER_01,366550,367005
16032,SPEAKER_00,367005,383037
2835,SPEAKER_01,383307,386142
51350,SPEAKER_00,386142,437492
3915,SPEAKER_01,437492,441407
591,SPEAKER_00,438589,439180
12657,SPEAKER_00,441390,454047
4725,SPEAKER_01,454266,458991
34830,SPEAKER_00,458991,493821
422,SPEAKER_01,475022,475444
237,SPEAKER_01,481215,481452
574,SPEAKER_01,494091,494665
39623,SPEAKER_00,495559,535182
962,SPEAKER_01,500993,501955
354,SPEAKER_01,528128,528482
1535,SPEAKER_01,535165,536700
37226,SPEAKER_00,536464,573690
5502,SPEAKER_01,573977,579479
38205,SPEAKER_00,579175,617380
5147,SPEAKER_01,618072,623219
6835,SPEAKER_00,622999,629834
3612,SPEAKER_01,630002,633614
6362,SPEAKER_00,633597,639959
11357,SPEAKER_01,639992,651349
388,SPEAKER_00,641562,641950
388,SPEAKER_00,647232,647620
34661,SPEAKER_00,650607,685268
354,SPEAKER_01,654944,655298
11003,SPEAKER_00,686027,697030
8218,SPEAKER_01,697502,705720
844,SPEAKER_00,703982,704826
32990,SPEAKER_00,705434,738424
1215,SPEAKER_01,707155,708370
270,SPEAKER_01,708977,709247
