Duration (s),Speaker,start_ms,end_ms
4907,SPEAKER_00,8,4915
730,SPEAKER_01,4966,5696
2529,SPEAKER_00,5696,8225
4618,SPEAKER_01,8837,13455
1324,SPEAKER_00,13387,14711
4975,SPEAKER_00,15118,20093
492,SPEAKER_01,20161,20653
11443,SPEAKER_00,20653,32096
4465,SPEAKER_00,32674,37139
6537,SPEAKER_01,37682,44219
4941,SPEAKER_01,44558,49499
6554,SPEAKER_01,50534,57088
3634,SPEAKER_00,58174,61808
1307,SPEAKER_01,62266,63573
1087,SPEAKER_00,63573,64660
3277,SPEAKER_01,64745,68022
1257,SPEAKER_00,68191,69448
6588,SPEAKER_01,69906,76494
5773,SPEAKER_00,76748,82521
408,SPEAKER_01,82741,83149
696,SPEAKER_00,83132,83828
3446,SPEAKER_01,83998,87444
2241,SPEAKER_00,87784,90025
1715,SPEAKER_01,87818,89533
6061,SPEAKER_00,90178,96239
5739,SPEAKER_00,96578,102317
3803,SPEAKER_01,102555,106358
815,SPEAKER_00,106358,107173
4754,SPEAKER_01,107665,112419
8472,SPEAKER_01,112792,121264
951,SPEAKER_00,121298,122249
2156,SPEAKER_01,122555,124711
713,SPEAKER_00,124864,125577
1460,SPEAKER_01,126137,127597
1698,SPEAKER_01,127903,129601
628,SPEAKER_00,129533,130161
5976,SPEAKER_01,130161,136137
5840,SPEAKER_00,136290,142130
4482,SPEAKER_00,142623,147105
8727,SPEAKER_01,147682,156409
17,SPEAKER_00,156358,156375
322,SPEAKER_00,156409,156731
4092,SPEAKER_01,156731,160823
3497,SPEAKER_00,160908,164405
2852,SPEAKER_01,164694,167546
6927,SPEAKER_00,165713,172640
7861,SPEAKER_01,172707,180568
2479,SPEAKER_00,180636,183115
1511,SPEAKER_01,182894,184405
424,SPEAKER_00,183217,183641
1239,SPEAKER_01,190042,191281
9355,SPEAKER_00,190993,200348
221,SPEAKER_01,194575,194796
